,분 야 별,시     설     명,소재지(주사무실),관리기관,지정일자,위도,경도
0,통신망,KT 혜화국사,서울시 종로구 ,KT,2007.9.17.,37.577188,127.001504
1,통신망,KT 구로국사,서울시 관악구 ,KT,2019.7.8.,37.481017,126.902866
2,통신망,LGU+상암교환국,서울시 마포구,(주)LG 유플러스,2011.1.20.,37.582549,126.886486
3,통신망,LGU+ 마곡국사,서울시 강서구,(주)LG 유플러스,2019.7.8.,37.561998,126.834665
4,통신망,SK브로드밴드동작종합정보센터,서울시 동작구 ,하나로산업개발,2007.9.17.,37.496471,126.915051
5,통신망,SKT 보라매사옥 ,서울시 관악구 ,㈜SK telecom,2007.9.17.,37.492235,126.926127
6,통신망,SKT 성수사옥,서울시 성동구,㈜SK telecom,2019.7.8.,37.546313,127.062777
7,철도,수도권고속철도(㈜SR),서울시 강남구,㈜에스알,2019.7.8.,37.489453,127.10375
8,공항,김포공항,서울시 강서구 ,한국공항공사,2007.9.17.,37.565683,126.801253
9,지하철,서울지하철1~9호선(서울교통공사),서울시 성동구,서울교통공사,2007.9.17.,37.563414,127.056923
10,지하철,서울지하철9호선(서울메트로9호선㈜),서울시 강서구,서울메트로9호선㈜,2013.9.13.,37.582267,126.795794
11,금융,한국은행,서울시 중구 ,한국은행,2007.9.17.,37.554914,126.920527
12,금융,산업은행,서울시 영등포구 ,산업은행,2007.9.17.,37.527901,126.920789
13,금융,한국수출입은행,서울시 영등포구,한국수출입은행,2007.9.17.,37.528724,126.923428
14,금융,금융결재원,서울시 강남구 ,금융결재원,2007.9.17.,37.500442,127.038184
15,금융,코스콤,서울시 영등포구,코스콤,2007.9.17.,37.521861,126.928489
16,금융,한국예탁결제원,서울시 영등포구,한국예탁결제원,2007.9.17.,37.521439,126.928573
17,응급의료,국립중앙의료원,서울시 중구,국립중앙의료원,2007.9.17.,37.56742,127.005637
18,응급의료,서울대학교병원,서울시 종로구 ,서울대학교병원,2007.9.17.,37.5796729,126.9989655
19,혈액원,혈액관리본부,서울시 중구,대한적십자사,2007.9.17.,37.560131,126.988065
20,혈액원,서울중앙혈액원,서울시 강서구,대한적십자사,2007.9.17.,37.548035,126.870758
21,혈액원,서울남부혈액원,서울시 강남구 ,대한적십자사,2007.9.17.,37.4821572,127.0488018
22,혈액원,서울동부혈액원,서울시 노원구 ,대한적십자사,2007.9.17.,37.6470903,127.0619121
23,혈액검사센터,중앙혈액검사센터,서울시 노원구,대한적십자사,2007.9.17.,37.5484544,126.8712658
24,지방정수장,암사정수장,서울시 강동구 ,서울시,2007.9.17.,37.5677042,127.1405647
25,지방정수장,구의정수장,서울시 광진구,서울시,2021.6.16.,37.5442119,127.0930084
26,지방정수장,뚝도정수장,서울시 성동구,서울시,2021.6.16.,37.5402628,127.0419434
27,지방정수장,영등포정수장,서울시 송파구,서울시,2021.6.16.,37.547564,126.884068
28,중앙행정기관,정부서울청사,서울시 종로구,정부청사관리본부,2007.9.17.,37.5748454,126.9754214
29,중앙행정기관,국방부,서울시 용산구,국방부,2015.10.12.,37.5336638,126.9776003
30,중앙행정기관,대검찰청,서울시 서초구,대검찰청,2015.10.12.,37.4938474,127.0050471
31,중앙행정기관,경찰청,서울시 서대문구,경찰청,2015.10.12.,37.56359,126.9673513
32,중앙행정기관,기상청,서울시 동작구 ,기상청,2015.10.12.,37.4937629,126.9167512
33,공동구,목동공동구,서울 양천구,서울시,2020.6.23.,37.5303,126.8794
34,공동구,여의도공동구,서울 영등포구,서울시,2020.6.23.,37.5215,126.9242
35,공동구,가락공동구,서울 송파구,서울시,2020.6.23.,37.4925,127.1147
36,공동구,개포공동구,서울 서초구,서울시,2020.6.23.,37.4832,127.0601
37,공동구,상계공동구,서울 노원구,서울시,2020.6.23.,37.6496,127.0609
38,공동구,상암공동구,서울 마포구,서울시,2020.6.23.,37.5794,126.8926
39,공동구,은평공동구,서울 은평구,서울시,2020.6.23.,37.6358,126.9287
40,공동구,마곡공동구,서울 강서구,서울시,2020.6.23.,37.5623,126.8248
41,국가유산,경복궁,서울 종로구,궁능유적본부,2020.6.23.,37.579617,126.977041
42,국가유산,창덕궁,서울 종로구,궁능유적본부,2020.6.23.,37.5794309,126.9910426
43,국가유산,창경궁,서울 종로구,궁능유적본부,2020.6.23.,37.5788149,126.9949298
44,국가유산,덕수궁(숭례문 포함),서울 중구,궁능유적본부,2020.6.23.,37.5658862,126.9749017
45,국가유산,종묘,서울 종로구,궁능유적본부,2020.6.23.,37.5746313,126.9938158
