순번,회사명,전화번호,팩스번호,생산품,공장대표 도로명주소,공장대표 지번주소,업종명,데이터기준일
1,(주)관심,02-3494-5656,02-3491-3514,방송장비,"서울특별시 강북구 삼양로117길 34, (미아동, 2층) (수유동)","서울특별시 강북구 수유동 312-18번지 (미아동, 2층)",방송장비 제조업 외 3 종,2025-08-15
2,(주)금마어페럴,02-994-4390,02-994-4392,의류,"서울특별시 강북구 덕릉로19길 11, 2층 (수유동)",서울특별시 강북구 수유동 47-51번지,남자용 겉옷 제조업 외 4 종,2025-08-15
3,(주)나그네다문화센터,02-6465-8300,070-8172-0335,"셔츠 및 블라우스, 남녀 겉옷, 근무복, 작업복 등","서울특별시 강북구 인수봉로 292-1, 2층 (수유동)",서울특별시 강북구 수유동 546-5번지 2층,셔츠 및 블라우스 제조업 외 4 종,2025-08-15
4,(주)대종기기산업,02-993-2777,,,"서울특별시 강북구 노해로 111, 지층 (수유동)",서울특별시 강북구 수유동 680-18번지 지층,공기 조화장치 제조업 외 6 종,2025-08-15
5,(주)더헤르첸,070-4770-9783,02-6971-9033,아동의류,"서울특별시 강북구 도봉로28길 5, 2층 (미아동)",서울특별시 강북구 미아동 134-22번지 2층,유아용 의복 제조업 외 25 종,2025-08-15
6,(주)동아테크놀,02-943-6788,02-943-6787,LED전광판,"서울특별시 강북구 도봉로68길 19-10, 1층 (미아동)",서울특별시 강북구 미아동 165-52번지 1층,전시 및 광고용 조명장치 제조업,2025-08-15
7,(주)동원에이브이,02-984-2215,02-984-2210,"앰프, 스피커, 제어장비","서울특별시 강북구 도봉로101길 59, 2층 (수유동)",서울특별시 강북구 수유동 166-19번지,방송장비 제조업 외 2 종,2025-08-15
8,(주)명우전자,02-985-7100,02-985-7102,"트래스포마,직류전원장치,코일류","서울특별시 강북구 덕릉로40길 74, 7층 702호 (번동, 영구임대주택지구내)",서울특별시 강북구 번동 229-10번지,"전자코일, 변성기 및 기타 전자 유도자 제조업",2025-08-15
9,(주)무궁화용사촌에프엔씨,042-585-1998,042-585-5104,운동복,"서울특별시 강북구 도봉로 268, 3층(미아동)",서울특별시 강북구 미아동 189-7 3층,"근무복, 작업복 및 유사의복 제조업 외 4 종",2025-08-15
10,(주)미래전자,02-983-4064,02-983-4074,POS SYSTEM,"서울특별시 강북구 덕릉로40길 74, 502호 (번동)",서울특별시 강북구 번제2동 229-10번지 강북전자공단 502호,컴퓨터 제조업,2025-08-15
11,(주)범홍,02-985-4113,02-985-4115,"가방, 침구류,세폭직물류","서울특별시 강북구 한천로109길 10, 702호(번동, 강북유니온빌딩) 702호",서울특별시 강북구 번동 239 강북유니온빌딩 702호  702호,"천막, 텐트 및 유사 제품 제조업 외 11 종",2025-08-15
12,(주)비에스아이시스템,02-3395-0072,02-3395-0074,방송장비,"서울특별시 강북구 솔샘로67길 62, 코리아나빌딩 402 (미아동)",서울특별시 강북구 미아동 327-20번지,방송장비 제조업,2025-08-15
13,(주)스타양행,02-988-0030,02-989-5300,"시계,거울","서울특별시 강북구 도봉로20가길 13 (미아동, 주식회사 스타)",서울특별시 강북구 미아동 137-108번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,2025-08-15
14,(주)싸이텍코리아,02-986-4413,,"연료전지시험평가장비, 전기분해반응분석측정장치","서울특별시 강북구 덕릉로40길 74, 402호(번동, 강북전자공단) 402호",서울특별시 강북구 번동 229-10 강북전자공단 402호  402호,"물질 검사, 측정 및 분석기구 제조업 외 2 종",2025-08-15
15,(주)아이에스솔루션즈,02-997-1450,02-6221-1451,기타 음향기기 제조업외 4,"서울특별시 강북구 덕릉로 147, 선경빌딩 6층 (번동)",서울특별시 강북구 번동 411-103 번지 선경빌딩 6층,기타 음향기기 제조업 외 6 종,2025-08-15
16,(주)엠디시크릿,02-2039-2273,02-922-1316,셔츠 및 블라우스,"서울특별시 강북구 솔매로46길 9, 지층 (미아동)",서울특별시 강북구 미아동 304-12번지 지층,셔츠 및 블라우스 제조업 외 8 종,2025-08-15
