회사명,지식산업센터명,입지,등록일,공장주소,전화번호,팩스번호,종업원,생산품,업종명,데이터기준일자
(주)MDS모빌리티,,개별입지,2022-09-27,"서울특별시 금천구 서부샛길 606, B동 17층 1703-1 (가산동)",02-3663-6161,,5,"loT기반 무선통신 주차센서, Gateway",기타 무선 통신장비 제조업 외 1 종,2025-10-31
(주)거봉,대륭테크노타운 6차,개별입지,2022-12-12,"서울특별시 금천구 서부샛길 648, 2층 207호(가산동, 대륭테크노타운6차)",02-830-6356,,28,엘리베이터 전자회로 기판,그 외 기타 전자부품 제조업,2025-10-31
(주)거봉,대륭테크노타운 6차,개별입지,2024-04-23,"서울특별시 금천구 서부샛길 648, 1201호(가산동, 대륭테크노타운6차)",02-830-6356,,0,"디지털도어락(유,무선)",일반철물 제조업 외 2 종,2025-10-31
(주)국제산업기계,대륭테크노타운 5차,개별입지,2009-02-20,"서울특별시 금천구 서부샛길 632, 4층 401 (가산동, 대륭테크노타운5) 외 2필지",02-2107-7820,,18,감속기 외,기어 및 동력전달장치 제조업,2025-10-31
(주)그린이앤지,대륭테크노타운 6차,개별입지,2012-08-22,"서울특별시 금천구 서부샛길 648, 7층 701호 (가산동)",02-2108-4755,02-2108-4757,5,"저주파자극기, 부항기",의료용 가구 제조업,2025-10-31
(주)꼬띠,대륭테크노타운 5차,개별입지,2002-09-16,"서울특별시 금천구 서부샛길 632, 602호 (가산동)",02-2107-7454,,3,"미용기기,의료기기",기타 가정용 전기기기 제조업 외 1 종,2025-10-31
(주)나노바이오라이프,대륭테크노타운 5차,개별입지,2020-07-30,서울특별시 금천구 서부샛길 632 (가산동) 대륭테크노타운5차,02-858-3635,02-856-3636,8,"POCT, 래피드키트",그 외 기타 의료용 기기 제조업,2025-10-31
(주)나유,대륭테크노타운 6차,개별입지,2018-01-11,"서울특별시 금천구 서부샛길 648, 6층 606 (가산동, 대륭테크노타운6)",02-725-3838,02-6442-3860,8,무선통신용 안테나,이동전화기 제조업,2025-10-31
(주)넥스와이드,대륭테크노타운 6차,개별입지,2007-03-30,"서울특별시 금천구 서부샛길 648, 4층 403호 (가산동)",02-866-2596,,17,"전자제품, 음향기기",기타 음향기기 제조업 외 2 종,2025-10-31
(주)넷컴솔루션,대륭테크노타운 5차,개별입지,2016-03-28,"서울특별시 금천구 서부샛길 632, 4층 405 (가산동, 대륭테크노타운5)",02-538-8855,02-538-8808,7,컴퓨터 서버,컴퓨터 제조업,2025-10-31
