시설명,동구분,주소,위도,경도,생산품,업종명,데이터기준일
(주)대웅텔레콤,창동,"도봉구 덕릉로59길 15-26 (창동, 창동근린생활시설)",37.63968,127.0377,"음향기기,CCTV","라디오, 녹음 및 재생 기기 제조업 외 1 종",2018-01-01
(주)신흥섬유,창동,도봉구 덕릉로53길 50 (창동),37.63936,127.03534,양말,스타킹 및 기타양말 제조업,2018-01-01
(주)이레씨앤피,쌍문동,"도봉구 도봉로137길 47, 지층 (쌍문동)",37.6611,127.03978,"의류, 가방",남자용 정장 제조업 외 22 종,2018-01-01
(주)킴스힐,창동,"도봉구 노해로63다길 53, 4층 (창동, 한영빌딩)",37.65513,127.04565,간판,전시 및 광고용 조명장치 제조업 외 1 종,2018-01-01
(주)타래모드,방학동,"도봉구 시루봉로23길 1,  2층 (방학동)",37.67093,127.03954,"스포츠의류(트레이닝복,티셔츠,벤치코트,오리털점퍼등)",셔츠 및 체육복 제조업 외 1 종,2018-01-01
(주)한일플라스틱,창동,도봉구 도봉로104길 88 (창동),37.64345,127.03689,합성수지 필름,"플라스틱 필름, 시트 및 판 제조업 외 1 종",2018-01-01
(주)협진,방학동,"도봉구 도당로13다길 21, 지하1층 (방학동)",37.66571,127.03334,"의류, 가방",남자용 정장 제조업 외 23 종,2018-01-01
(주)대지유리,창동,도봉구 해등로 124 (창동),37.65455,127.04103,유리,판유리 제조업 외 1 종,2018-01-01
(주)혜성니트,쌍문동,"도봉구 우이천로 296, 지하1층 (쌍문동)",37.64417,127.02968,스웨터(의류),편조의복 제조업 외 1 종,2018-01-01
F&B메디(미소인),창동,도봉구 해등로 133-23 (창동),37.65528,127.03994,병원의복,"근무복, 작업복 및 유사의복 제조업 외 3 종",2018-01-01
GNTECH21,창동,도봉구 도봉로110라길 9 (창동),37.64567,127.03591,전자카드,전자카드 제조업 외 1 종,2018-01-01
경서이엔씨(주),쌍문동,도봉구 우이천로 366 (쌍문동),37.64854,127.02379,알루미늄 샷시및 창호,"금속 문, 창, 셔터 및 관련제품 제조업",2018-01-01
경진섬유,쌍문동,도봉구 우이천로34길 38 (쌍문동),37.65032,127.02432,"양말,스타킹",스타킹 및 기타양말 제조업,2018-01-01
경흥공업사,도봉동,도봉구 도봉로168길 23 (도봉동),37.67856,127.04569,차부속,그외 기타 자동차 부품 제조업,2018-01-01
관심,방학동,도봉구 시루봉로 191-1 (방학동),37.66653,127.03196,엘시디모니터,유선 통신장비 제조업,2018-01-01
경원섬유,쌍문동,도봉구 도봉로141길 33 (쌍문동),37.66149,127.04023,양말,스타킹 및 기타양말 제조업 외 1 종,2018-01-01
광우섬유,창동,"도봉구 해등로16다길 10,  지하1층 (창동)",37.65448,127.04356,양말,스타킹 및 기타양말 제조업,2018-01-01
그린,창동,"도봉구 덕릉로59마길 39,  2층 (창동)",37.63957,127.03657,LED등기구,일반용 전기 조명장치 제조업,2018-01-01
그린팬시,창동,도봉구 덕릉로60다길 6 (창동),37.63855,127.03995,"전산라벨, 제본라벨, 전산소모품",문구용 종이제품 제조업,2018-01-01
금성실크,방학동,도봉구 방학동,37.67149,127.03951,스크린인쇄,스크린 인쇄업,2018-01-01
나비수,쌍문동,도봉구 우이천로 346-5 (쌍문동),37.64767,127.02548,"의류,침장",침구 및 관련제품 제조업 외 7 종,2018-01-01
농업회사법인 주식회사 승화푸드,쌍문동,도봉구 우이천로 298 (쌍문동),37.64432,127.02942,"김치,절임식품",과실 및 채소 절임식품 제조업,2018-01-01
다수실업,창동,도봉구 도봉로110길 39-16 (창동),37.64648,127.03575,양말,스타킹 및 기타양말 제조업,2018-01-01
대원스텐샷다바상사,창동,도봉구 우이천로 192-3 (창동),37.63744,127.03629,스텐레스,그외 기타 1차 철강 제조업,2018-01-01
신명양말,쌍문동,도봉구 도봉로 631 (쌍문동),37.66086,127.04161,양말편조,스타킹 및 기타양말 제조업,2018-01-01
