회사명,전화번호,공장대표주소(도로명),업종명,생산품,관리부서 ,관리부서 전화번호,데이터기준일
(주)K.S JEWELRY,02-960-4969,"서울특별시 동대문구 휘경로 63, 1층 (휘경동)",귀금속 및 관련제품 제조업,"반지, 귀걸이 등",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)광일광고기업,02-2248-2939,"서울특별시 동대문구 장한로2길 23 (장안동, 광일빌딩)",간판 및 광고물 제조업 외 2 종,"LED전광판,긴급전화기",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)금안통상,02-2247-3810,"서울특별시 동대문구 사가정로 262, (지층) (장안동)",모피제품 제조업 외 1 종,모피의류제조,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)나라물산,070-5138-8441,"서울특별시 동대문구 답십리로 45, 107호,108호,109호 (전농동)","근무복, 작업복 및 유사의복 제조업 외 5 종","단체복,헬스복,찜질복 등 의류",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)나청메이커앤드론,02-2232-0927,"서울특별시 동대문구 한천로 136, 2층(장안동)",무인 항공기 및 무인 비행장치 제조업 외 1 종,"드론, 스마트팜",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)너울림어패럴,02-2216-5346,"서울특별시 동대문구 한천로20길 8-12, 지하1층 (장안동, 장안동다가구주택)",셔츠 및 블라우스 제조업 외 5 종,"단체복 상의,하의, 바지, 티셔츠",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)다쏘니,02-2233-4659,"서울특별시 동대문구 난계로30길 32, 1,3층 (신설동)",셔츠 및 블라우스 제조업 외 2 종,"셔츠, 체육복",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)대붕이엔씨,02-2217-2466,서울특별시 동대문구 망우로12나길 54 (휘경동),"전기회로 개폐, 보호장치 제조업 외 1 종",전기계기,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)더라온패션,02-2699-8202,"서울특별시 동대문구 서울시립대로 43, 2층 (전농동)","근무복, 작업복 및 유사의복 제조업 외 8 종",의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)도도조명,02-2233-0914,"서울특별시 동대문구 안암로 80, 2층(제기동)",일반용 전기 조명장치 제조업 외 1 종,전기 조명장치,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)동방위너스텍,02-2213-6266,서울특별시 동대문구 답십리로 313-3 (장안동),사무용 기계 및 장비 제조업,자동수표인압기,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)디앤비플러스,02-762-3611,"서울특별시 동대문구 답십리로 94 (답십리동, 한성실업(주))","근무복, 작업복 및 유사의복 제조업 외 5 종",의류,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)디앤비플러스,02-762-3611,"서울특별시 동대문구 무학로34길 44, 3층 (용두동)","근무복, 작업복 및 유사의복 제조업 외 6 종","유니폼,학생품",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)디클락,010-3741-****,"서울특별시 동대문구 왕산로 252, 지층 (전농동)",전시 및 광고용 조명장치 제조업 외 1 종,"LED 전자시계, 전광판, 시계, 시계부품",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)라온케이디,02-953-3320,"서울특별시 동대문구 천호대로 57, 1층, 2층, 3층, 4층, 5층(용두동) 외 1필지","근무복, 작업복 및 유사의복 제조업 외 13 종", 사원복 및 유사피복제조,서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)런던베이직,02-941-7450,"서울특별시 동대문구 천호대로 83, 2층 (용두동)","근무복, 작업복 및 유사의복 제조업 외 3 종","의류, 교복 외",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)린인터내셔널,02-1577-6923,"서울특별시 동대문구 왕산로43나길 20, 3층 (청량리동)",남자용 겉옷 제조업 외 4 종,"근무복,정장",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
(주)미려비젼,02-511-8451,"서울특별시 동대문구 무학로19길 36, 구)255-99 2층 (용두동)","근무복, 작업복 및 유사의복 제조업 외 5 종","단체폼, 유니폼, 정장",서울특별시 동대문구청 ,02-2127-4368,2026-02-24
