순번,회사명,공장대표주소,설립구분,용지면적,건축면적,종업원수,공장크기,등록일,용도지역,지목,업종번호,업종명,생산품,대기오염,수질오염,소음진동여부,생활용수,산업용수,자기자본액,타인자본액,전화번호,공장홈페이지,데이터갱신일자
1,(주)나이테산업,서울특별시 동작구 양녕로20길 43 (상도동),일반,132.23,190.54,8,소기업,1996-01-11,도시지역/주거지역,대,"27214, 27215",속도계 및 적산계기 제조업 외 1 종,"로타리스위치,유량계",해당없음,해당없음,무,1,0,0,0,02-822-3355,,2024-07-29
2,(주)노디스,"서울특별시 동작구 사당로17나길 2, 3층 (사당동)",일반,49,49,5,소기업,2016-01-08,도시지역/주거지역/제3종일반주거지역,대,"13229, ",기타 직물제품 제조업,방연마스크제조,,,무,,,,,02-3477-9419,www.nodis.co.kr,2024-07-29
3,(주)대광메디텍,"서울특별시 동작구 동작대로35길 5, 대광빌딩 5층 (사당동)",일반,214.02,214.02,5,소기업,2007-08-08,도시지역/주거지역/제3종일반주거지역,대,"20499, 20495",그 외 기타 분류 안된 화학제품 제조업 외 1 종,임상병리 장비 및 시약 ,해당없음,해당없음,무,0,0,0,0,02-533-3700,,2024-07-29
4,(주)서광양행,서울특별시 동작구 여의대방로22카길 43 (신대방동),일반,390,495.36,22,소기업,2009-08-04,도시지역/주거지역/제2종일반주거지역,대,"26329, ",기타 주변기기 제조업,레이저프린터토너카트리지,해당없음,해당없음,무,0,0,0,0,02-3273-6181,www.skrecycle.com,2024-07-29
5,(주)서우시스템즈,"서울특별시 동작구 상도로45길 31, 지하2층 (상도1동, 하이탑독서실)",일반,349.1,282,24,소기업,2020-11-25,도시지역/주거지역/제2종일반주거지역,대,"29172, ",공기 조화장치 제조업,항온항습기,,,무,,,,,02-814-8241,www.seowoo.com,2024-07-29
6,(주)세일카드씨스템,서울특별시 동작구 노량진로26길 39-4 (본동),일반,68.89,101.87,7,소기업,2011-10-25,도시지역/주거지역/제1종일반주거지역,대,"22299, ",그 외 기타 플라스틱 제품 제조업,RF카드제조,,,무,,,1,1,02-814-4961,,2024-07-29
7,(주)웅림물산,서울특별시 동작구 대림로 56 (신대방동),일반,0,216.26,0,소기업,2007-07-03,도시지역/주거지역/제3종일반주거지역,대,"18119, 18113",기타 인쇄업 외 1 종,금융기관예금통장,,,무,0,0,0,0,02-835-1803,,2024-07-29
8,(주)정인애드,"서울특별시 동작구 동작대로33길 28, 정인빌딩 (사당동)",일반,0,439.27,13,소기업,2016-01-27,도시지역/주거지역/제2종일반주거지역,대,"18111, 18113",경 인쇄업 외 1 종,연구보고서 외,해당없음,해당없음,무,0,0,0,0,02-3486-6791,,2024-07-29
9,(주)태림,서울특별시 동작구 국사봉길 8 (신대방동),일반,162,194.98,9,소기업,2014-06-11,도시지역/주거지역,대,"10749, 10743",기타 식품 첨가물 제조업 외 1 종,"소스류,식품첨가물",해당없음,해당없음,무,4,0,0,0,02-827-0577,www.tmgf.co.kr,2024-07-29
10,(주)한성세이프티,서울특별시 동작구 상도로 52 (대방동),일반,49,49,16,소기업,2010-09-06,도시지역/주거지역,대,"22299, 20202",그 외 기타 플라스틱 제품 제조업 외 1 종,안전모,해당없음,해당없음,무,1,0,0,0,02-821-1665,www.hsafety.com,2024-07-29
11,dual shock,"서울특별시 동작구 장승배기로24길 5, 지하1층 (노량진동)",일반,66.18,66.18,0,소기업,2010-04-26,도시지역/주거지역/제3종일반주거지역,대,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,"4종복합비료, 수족관 미생물 제재",해당없음,해당없음,무,0,0,0,0,,,2024-07-29
12,건영섬유(주),서울특별시 동작구 동작대로35길 43 (사당동),일반,4428,4617,93,중기업,2005-05-12,도시지역/주거지역,대,"14120, ",속옷 및 잠옷 제조업,여성용내의,해당없음,해당없음,무,20,0,0,0,02-599-6141,,2024-07-29
13,동작구립장애인보호작업장,서울특별시 동작구 등용로14길 24 (대방동),창업,204.75,194.91,16,소기업,2020-06-25,도시지역/주거지역/제3종일반주거지역,대,"21300, ",의료용품 및 기타 의약 관련제품 제조업,마스크,해당없음,해당없음,무,,,,,02-812-7178,,2024-07-29
14,동화전자산업(주),"서울특별시 동작구 상도로 17 (대방동, 동화빌딩)",일반,240,240.11,10,소기업,2023-03-16,도시지역/주거지역,대,"26410, 25932, 26421, 26429, 26519, 26529, 28122, 28410, 28422, 28901",유선 통신장비 제조업 외 9 종,"오디오앰프,통신관련제품(CCTV,광장비)",해당없음,해당없음,무,3,0,0,0,02-825-0300,www.dhe-av.co.kr,2024-07-29
15,디에스지엔(주),"서울특별시 동작구 동작대로 89, 13층 (사당동, 골든시네마타워)",일반,17.44,17.44,4,소기업,2016-05-31,도시지역/상업지역/일반상업지역/미관지구,대,"26410, ",유선 통신장비 제조업,유선통신기기,해당없음,해당없음,무,,,,,070-7013-0099,,2024-07-29
16,미래미디어,"서울특별시 동작구 여의대방로24길 65, 동아빌딩 202호 (대방동, 신호빌딩)",일반,99,40,4,소기업,2019-01-28,도시지역/주거지역/제2종일반주거지역,대,"18129, ",기타 인쇄관련 산업,책 기타인쇄물,해당없음,해당없음,무,,,,,02-815-0407,,2024-07-29
17,세원물산,"서울특별시 동작구 상도로41길 25, 지층 (상도1동)",일반,157.5,157.5,10,소기업,2009-09-23,도시지역/주거지역/제2종일반주거지역,대,"14192, 13224, 13229, 14111, 14112, 14199","근무복, 작업복 및 유사의복 제조업 외 5 종","근무복, 비옷",해당없음,해당없음,무,0,0,0,0,02-817-0616,www.sw0616.kr,2024-07-29
18,수도사,"서울특별시 동작구 상도로68길 10, 지층 (상도동)",일반,104.12,103.6,5,소기업,2018-08-22,도시지역/주거지역/제3종일반주거지역,대,"14499, 13222, 13409, 14111, 14112, 14192, 14491, 25995, 25999",그 외 기타 의복액세서리 제조업 외 8 종,"피복,휘장,자수",해당없음,해당없음,무,0,0,0,0,02-755-8538,,2024-07-29
19,썬시큐원(주),"서울특별시 동작구 여의대방로24길 16, 우송빌딩 B1 (신대방동)",일반,0,99.17,6,소기업,2022-03-14,도시지역/주거지역/제3종일반주거지역,대,"26421, 26410, 26519, 28423, 28903",방송장비 제조업 외 4 종,CCTV 및 영상음향기기,,,무,0,0,0,0,02-826-7782,http://entcom.co.kr,2024-07-29
20,알림기획,"서울특별시 동작구 상도로 49, 395-21 (대방동, 황금빌딩)",일반,52,36,2,소기업,2022-01-11,도시지역/주거지역/제3종일반주거지역/미관지구,대,"18111, 18112, 18113, 18119, 18121, 18122, 18129, 33910",경 인쇄업 외 7 종,인쇄(광고현수막)등,해당없음,해당없음,무,,,70,20,,,2024-07-29
21,영도기업(주),"서울특별시 동작구 등용로 109-1 (대방동, 영도기업(주))",일반,100,100,1,소기업,2016-04-08,도시지역/주거지역,대,"33920, ",사무 및 회화용품 제조업,포라스고무제품,해당없음,해당없음,무,1,0,0,0,02-813-5014,www.youngdoink.com,2024-07-29
22,주식회사 대성알에스,"서울특별시 동작구 여의대방로24길 30, 3층 (신대방동)",일반,151.6,151.6,2,소기업,2014-07-24,도시지역/주거지역/제3종일반주거지역,대,"28903, 31202",교통 신호장치 제조업 외 1 종,철도신호용품,,,무,,,,,02-812-4595,,2024-07-29
23,주식회사 태성씨엔에쓰,"서울특별시 동작구 보라매로 78, 2층 (신대방) (신대방동, 성진빌딩)",일반,112.35,112.35,16,소기업,2020-04-08,도시지역/주거지역/제3종일반주거지역,대,"28123, ",배전반 및 전기 자동제어반 제조업,자동제어반,,,무,,,,,02-882-5506,,2024-07-29
24,주식회사 한미이앤씨기술사사무소,"서울특별시 동작구 노량진로 206, 2층 (노량진동, 백명트렌디타워)",일반,185.63,185.63,10,소기업,2022-05-16,도시지역/상업지역/일반상업지역/미관지구,대,"28123, ",배전반 및 전기 자동제어반 제조업,배전선로 전기분산 제어장치,,,무,,,,,,,2024-07-29
25,주식회사대신시앤에이,"서울특별시 동작구 상도로15길 83, 영우사빌딩 2층 (상도동)",일반,121.12,121.12,3,소기업,2011-07-05,도시지역/주거지역/제3종일반주거지역,대,"33910, ",간판 및 광고물 제조업,"간판,표지판,플래카드,배너",,,무,,,200,,,,2024-07-29
26,코리아케어서프라이(주),"서울특별시 동작구 대방동15가길 23 (대방동, 한성빌딩)",일반,0,167.97,2,소기업,2010-10-13,도시지역/주거지역/제2종일반주거지역,대,"33999, 31991",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,보행차(성인보행기),해당없음,해당없음,무,0,0,50,0,02-701-8362,www.kocas.co.kr,2024-07-29
27,티엔에스식품,"서울특별시 동작구 여의대방로22사길 15, 3,4,5층 (신대방동)",일반,378.91,378.91,12,소기업,2017-10-10,도시지역/주거지역/제2종일반주거지역,대,"10730, 10749","면류, 마카로니 및 유사식품 제조업 외 1 종","생면류, 식품첨가물",,,무,,,,,02-824-0058,,2024-07-29
28,한국비전기술(주),"서울특별시 동작구 여의대방로22길 4, 4층 (신대방동, 동일빌딩)",일반,205,98.1,8,소기업,2015-06-24,도시지역/주거지역/제3종일반주거지역,대,"26421, 26422, 26429",방송장비 제조업 외 2 종,"CCTV카메라제조 및 조립, CCTV관련 프로그램 개발",,,무,,,100,,02-826-0472,www.cvtechn.com,2024-07-29
