회사명,주소,업종,업종코드,생산품,전화번호,데이터기준일자
(주)한별휴스템,"서울특별시 성북구 삼선교로24길 37,  (4층) 4층 401호 (삼선동5가)","기타 무선 통신장비 제조업,방송장비 제조업,비디오 및 기타 영상기기 제조업,기타 음향기기 제조업,사진기, 영사기 및 관련 장비 제조업 ",2642926421265190000000000,"방송용앰프, 음향영상기기및CCTV",02-766-3337,2020-10-01
모도인터내셔널,서울특별시 성북구 장월로 117 (장위동),"근무복, 작업복 및 유사의복 제조업,남자용 겉옷 제조업,여자용 겉옷 제조업",141921411114112,스웨터,02-917-1730,2020-10-01
(주)넥스엔텍,서울특별시 성북구 안암동5가 1번지 고려대학교 자연계캠퍼스 미래기술센터 602-1,화장품 제조업,20423,화장품,02-924-6638,2020-10-01
종암식품,서울특별시 성북구 월곡로5길 28 (종암동),두부 및 유사식품 제조업,10794,두부제조,02-912-5374,2020-10-01
(주)아이엔디,"서울특별시 성북구 종암로 56,  나동 111호 (종암동)",금속 주조 및 기타 야금용 기계 제조업,29230,샤워부스 부품,02-2024-2609,2020-10-01
(주)영도시큐리티,"서울특별시 성북구 화랑로 123, 은하빌딩 3층 (하월곡동)","방송장비 제조업,유선 통신장비 제조업,기타 무선 통신장비 제조업",264212641026429,cctv용 카메라,02-1599-5780,2020-10-01
(주)하이낸드,"서울특별시 성북구 정릉로 77, 창업보육센터 113-1호 (정릉동, 국민대학교)",그 외 기타 플라스틱 제품 제조업,22299,플라스틱 적층 단열재,02-941-9330,2020-10-01
(주)가경엘앤에프,"서울특별시 성북구 월계로 138 (장위동, 가경빌딩)","모피제품 제조업,가죽의복 제조업,그 외 기타 의복액세서리 제조업,모피 및 가죽 제조업",14200141931449900000,모피 및 가죽의류,02-913-1606,2020-10-01
(주)제이엠티미디어,"서울특별시 성북구 화랑로37길 42, 1층 (장위동, 삼익아파트)","기타 주변기기 제조업,방송장비 제조업,기타 음향기기 제조업",263292642126529,"앰프,스피커,전자교탁",02-2274-0074,2020-10-01
SLM,"서울특별시 성북구 오패산로3길 12, 서울국방벤처센터 103호 (하월곡동)","기타 전기 변환장치 제조업,에너지 저장장치 제조업",2811928114,4plus 멀티충전기,070-4809-9377,2020-10-01
실크론,서울특별시 성북구 하월곡동  90-700 지층,침구 및 관련제품 제조업,13221,침구 및 관련제품 제조,,2020-10-01
