회사명,대표자명,공장대표주소,전화번호,팩스번호,업종명,데이터기준일자
(사)사랑나눔장애인협회다좋은지점,김은정,"서울특별시 송파구 송파대로37길 74, 1층 (석촌동, 부자빌딩)",02-6426-5615,,경 인쇄업 외 1종,2023-06-30
(주) 진양아이에스씨,염수미,서울특별시 송파구 거마로2길 14 (거여동),02-431-7378,2,"근무복, 작업복 및 유사의복 제조업 외 4종",2023-06-30
(주)21세기정보기술,송채현,서울특별시 송파구 마천동-90번지 20 (2층),02-402-1388,02-402-1384,방송장비 제조업 외 1종,2023-06-30
(주)GBSTYLE,박용주,"서울특별시 송파구 법원로11길 11, A동 901~908호(문정동, 현대지식산업센터) (문정동)",02-2210-1400,02-2210-1406,속옷 및 잠옷 제조업,2023-06-30
(주)가온아이피엠,도귀영,"서울특별시 송파구 동남로28길 30, 지층 (오금동)",02-431-9775,02-431-9778,그 외 기타 전기장비 제조업,2023-06-30
(주)건양유통,박규현,"서울특별시 송파구 중대로 150,  2층 (가락동)",02-403-3333,02-409-7077,폴리스티렌 발포 성형제품 제조업 외 1종,2023-06-30
(주)경원,안귀영,"서울특별시 송파구 법원로11길 7, C동 8층 814,815호 (문정동)",02-415-2600,02-415-5471,그 외 기타 특수목적용 기계 제조업 외 1종,2023-06-30
(주)그린랩스,"안동현, 최성우","서울특별시 송파구 송파대로 201, A동 B4층 G403호 (문정동)",02-6956-4023,02-6952-0457,배전반 및 전기 자동제어반 제조업,2023-06-30
(주)그린빈에스텍,김인국,"서울특별시 송파구 법원로 127, 520호 (문정동)",070-8683-2460,,커피 가공업,2023-06-30
(주)그린아이티코리아,강원식,"서울특별시 송파구 송파대로 201, 송파 테라타워2 A동 G414~417호, B동 1113~1114호 (문정동)",031-721-5661,031-721-5663,방송장비 제조업 외 6종,2023-06-30
(주)그린아쿠아,신금태,"서울특별시 송파구 동남로24길 7,  (지층) (오금동)",02-408-9935,2,가방 및 기타 보호용 케이스 제조업 외 3종,2023-06-30
(주)금송조경건설,이병욱,"서울특별시 송파구 충민로 52, B동 2층 206 (문정동, 가든파이브웍스)",054-635-6060,054-638-3733,놀이터용 장비 제조업,2023-06-30
(주)나노에스텍,조철훈,"서울특별시 송파구 법원로11길 11, B동 710호 (문정동)",02-2148-6650,02-2148-6656,"물질 검사, 측정 및 분석기구 제조업",2023-06-30
