연번,회사명,공장대표주소(도로명),업종명,등록일,사업유형
1,  ㈜픽스쳐패브리케이션,"서울특별시 용산구 한강대로15길 23, 3층 (한강로3가)(한강로3가, 삼정빌딩)",셔츠 및 블라우스 제조업 외 7 종,2025-04-14,제조업
2, 씨에스이노베이션 주식회사,"서울특별시 용산구 새창로45길 74, 지하1층 (신계동)",컴퓨터 제조업 외 1 종,2017-06-19,제조업
3,(주) 태광싸인아트,"서울특별시 용산구 백범로43길 8, 지층 (효창동)",간판 및 광고물 제조업,2023-03-02,제조업
4,(주)네트웍리더,"서울특별시 용산구 청파로20길 34, 22동 6층 6017호(한강로2가, 선인상가)",유선 통신장비 제조업,2021-10-07,제조업
5,(주)덕원비앤씨,서울특별시 용산구 청파로89길 53 (서계동),문구용 종이제품 제조업,2021-03-30,제조업
6,(주)동아전기,"서울특별시 용산구 원효로80길 17, 1층 (원효로1가)",육상 금속 골조 구조재 제조업 외 1 종,2020-06-10,제조업
7,(주)라이트컴,서울특별시 용산구 원효로39길 33 (원효로3가),기타 주변기기 제조업,2018-02-09,제조업
8,(주)루가시트,서울특별시 용산구 한남대로27길 6 (한남동),그 외 자동차용 신품 부품 제조업 외 3 종,2023-04-10,제조업
9,(주)명지테크,서울특별시 용산구 한강대로98길 14 (갈월동),"고무, 화학섬유 및 플라스틱 성형기 제조업 외 2 종",2023-04-07,제조업
10,(주)쌍봉교역,"서울특별시 용산구 청파로 83, 4동 104호(한강로3가, 원효전자상가)",기타 음향기기 제조업 외 1 종,2022-07-22,제조업
11,(주)에이치쓰리솔루션,"서울특별시 용산구 효창원로12길 37, 402호 (원효로4가)",컴퓨터 제조업,2024-12-31,제조업
12,(주)엠알오솔루션,서울특별시 용산구 원효로 40(원효로4가) 외 1필지,컴퓨터 제조업,2024-08-29,제조업
13,(주)영재컴퓨터,"서울특별시 용산구 효창원로69길 15, 2층(효창동)",컴퓨터 제조업,2023-03-08,제조업
14,(주)이지넷유비쿼터스,"서울특별시 용산구 새창로45길 64, 2층 (신계동)",유선 통신장비 제조업,2025-06-04,제조업
15,(주)제일광고네온사,"서울특별시 용산구 청파로93길 49-29 (서계동, 제일빌딩)",간판 및 광고물 제조업 외 2 종,2006-07-27,제조업
16,(주)천호펌프,서울특별시 용산구 한강대로81길 14 (갈월동),액체 펌프 제조업 외 1 종,2022-10-20,제조업
17,(주)코스모토,"서울특별시 용산구 한남대로27길 19,  지층 (한남동)",기타 전기 변환장치 제조업 외 1 종,2012-02-27,제조업
18,(주)테크데이타피에스,"서울특별시 용산구 효창원로 6-4, 지하 1층  (원효로4가)",기타 음향기기 제조업 외 5 종,2025-02-18,제조업
19,경성문화사,"서울특별시 용산구 효창원로 270, 1층 (서계동, 만리시장)",오프셋 인쇄업 외 1 종,2019-04-03,제조업
20,김현선디자인연구소,"서울특별시 용산구 이태원로 242, 1층 (한남동)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,2023-05-22,제조업
21,네오프랜드(주),"서울특별시 용산구 원효로64길 7-4, 지하1층 (원효로2가, 천광빌)",컴퓨터 제조업,2019-01-03,제조업
22,대대떡방,서울특별시 용산구 원효로53가길 5 (용문동),떡류 제조업 외 2 종,2013-03-29,제조업
23,대진비닐기업사,서울특별시 용산구 청파로47나길 101 (청파동1가),플라스틱 필름 제조업 외 2 종,2008-09-17,제조업
24,대호정밀,"서울특별시 용산구 청파로73길 3, 302호 (서계동, 세계빌딩)",기타 전기 변환장치 제조업,2018-03-21,제조업
25,대흥사,서울특별시 용산구 백범로74길 43 (용문동),문구용 종이제품 제조업,2005-03-04,제조업
26,동양TOP(주),"서울특별시 용산구 원효로48길 6, 101호 (원효로3가) 외 1필지",배전반 및 전기 자동제어반 제조업,2017-09-18,제조업
27,동양특수공구,서울특별시 용산구 효창원로54길 16 (용문동),전동기 및 발전기 제조업,2012-02-28,제조업
28,두전네트웍스 주식회사,"서울특별시 용산구 한강대로54길 21, 4층(한강로1가, 성삼빌딩)",유선 통신장비 제조업 외 1 종,2022-05-09,제조업
29,레드클라우디,"서울특별시 용산구 서빙고로20길 5, 레드사옥 (한강로3가)",기타 인쇄업,2024-11-05,제조업
30,명지가공,서울특별시 용산구 청파로93길 22 (서계동) (총 3 필지) 외 2필지,신발 부분품 제조업,1997-12-05,제조업
31,물춤워터아트(주),"서울특별시 용산구 백범로 284-5, 1층 (효창동)",액체 펌프 제조업 외 7 종,2013-05-10,제조업
32,삼화계기제작소,서울특별시 용산구 효창원로 18 (산천동),"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 6 종",2007-01-22,제조업
33,상신공작소,서울특별시 용산구 백범로90길 84-19 (문배동),"용기 세척, 포장 및 충전기 제조업",2012-02-14,제조업
34,서울의지,서울특별시 용산구 한강대로15길 2-9 (한강로3가),치과기공물 제조업 외 2 종,2012-08-30,제조업
35,성의사,서울특별시 용산구 후암로 36-1 (후암동),"근무복, 작업복 및 유사의복 제조업 외 5 종",2005-06-16,제조업
36,성진 CCTV,서울특별시 용산구 이촌로 32 (이촌동),기타 무선 통신장비 제조업,2007-04-02,제조업
37,신영에스아이(주),서울특별시 용산구 효창원로 75 (용문동),컴퓨터 제조업 외 1 종,2024-11-04,제조업
38,신영인쇄,서울특별시 용산구 효창원로 276 (서계동),제판 및 조판업 외 2 종,2003-09-09,제조업
39,신일상사,"서울특별시 용산구 한강대로21가길 27, 지층 (한강로3가)",남자용 겉옷 제조업 외 4 종,2012-09-21,제조업
40,신정프린테크(주),서울특별시 용산구 원효로 68-5 (원효로4가),기타 인쇄업 외 1 종,1997-05-10,제조업
41,썬다이아몬드공업,"서울특별시 용산구 후암로49길 7-6 (동자동, 썬다이아몬드공업사(주))",금속 절삭기계 제조업,2012-02-13,제조업
