순번,회사명,공장대표주소(도로명),업종명,데이터기준일자
1,(유)종로과학상사,서울특별시 종로구 지봉로14길 8-6 (숭인동),"전자기 측정, 시험 및 분석기구 제조업 외 2 종",2025-07-09
2,(주)계문사,서울특별시 종로구 자하문로1길 41 (필운동),기타 인쇄업 외 2 종,2025-07-09
3,(주)골드앤,"서울특별시 종로구 돈화문로11길 42, 7층 (낙원동)",귀금속 및 관련제품 제조업,2025-07-09
4,(주)골든듀,"서울특별시 종로구 돈화문로9길 32, 5층(낙원동, 은전빌딩)",귀금속 및 관련제품 제조업,2025-07-09
5,(주)광동이엔씨,"서울특별시 종로구 창경궁로16길 73-7, 지하1층(연건동)",그 외 기타 전기장비 제조업,2025-07-09
6,(주)광원어패럴,서울특별시 종로구 창경궁로 230 (명륜4가),그 외 기타 의복액세서리 제조업,2025-07-09
7,(주)그레이포인트,"서울특별시 종로구 명륜길 4, 2층 (명륜1가)",전시용 모형 제조업,2025-07-09
8,(주)금부치아,"서울특별시 종로구 창경궁로16가길 14, 감자빌딩 4층 (연지동)",귀금속 및 관련제품 제조업,2025-07-09
9,(주)나눔과 행복,"서울특별시 종로구 율곡로29길 16, 4층 (종로6가)","근무복, 작업복 및 유사의복 제조업 외 26 종",2025-07-09
10,(주)나이벡,"서울특별시 종로구 대학로 101, 404호 (연건동)",의료용품 및 기타 의약 관련제품 제조업,2025-07-09
11,(주)넥슨정보통신,"서울특별시 종로구 청계천로 147, 3,4,5층 (장사동)",유선 통신장비 제조업 외 1 종,2025-07-09
12,(주)뉴비젼이엔지,"서울특별시 종로구 창경궁로21길 17-6, 110호 (원남동)",방송장비 제조업 외 3 종,2025-07-09
13,(주)동명나동선,"서울특별시 종로구 창경궁로18길 13, 지1층 (원남동)","전기회로 개폐, 보호장치 제조업",2025-07-09
14,(주)동양그래픽커뮤니케이션,"서울특별시 종로구 자하문로9길 15, 백악빌딩 (통인동)",기타 인쇄업 외 1 종,2025-07-09
15,(주)동유아이앤씨,"서울특별시 종로구 평창문화로 6-3, 지2층 (신영동)",기타 음향기기 제조업 외 4 종,2025-07-09
