회사명,대표자명,전화번호,생산품,공장대표주소,데이터기준일자
(사)한국음식문화연구원,김현,02-463-0115,과자류,서울특별시 광진구 아차산로53길 53+ 3층 (구의동),2026-01-27
(주)G.I.G기업,이현호,02-456-5858,광고물제작+ 간판 및 조형물 또는 프레임+ 간판 및 조형물 또는 프레임,서울특별시 광진구 능동로40길 8+ 지하1층 (중곡동),2026-01-27
(주)건일자동문,노효석,02-454-9756,자동문작동기,서울특별시 광진구 뚝섬로52라길 9 (자양동),2026-01-27
(주)그리디파머스,박소희,070-7576-2472,데스트매트S/M+ 마우스패드+ 티코스터+ 테이블매트+ 휴지케이스S/L,서울특별시 광진구 천호대로 585+ 5층 (중곡동),2026-01-27
(주)금호어패럴,임지오,02-2209-7216,니트 의류,서울특별시 광진구 뚝섬로36길 69+ 지층 (자양동),2026-01-27
(주)느티나무의 사랑,정선희,051-997-5201,담요+ 무릎담요+ 쿠션+ 목쿠션,서울특별시 광진구 구의로6길 8 (구의동),2026-01-27
(주)대성오토텍,신미금,02-488-6285,주차관제장치,서울특별시 광진구 용마산로8가길 31+ 1층(101호) (중곡동),2026-01-27
(주)디앤비플러스,이선자,02-762-3611,근무복+ 작업복 및 유사의복 ,서울특별시 광진구 동일로 252 (군자동) 2층,2026-01-27
(주)류니진컴퍼니,이용희,02-3409-2151,방수지퍼,서울특별시 광진구 동일로 274+ 지하1층 (군자동),2026-01-27
(주)리갈패션,김세진,02-463-3607,유니폼,서울특별시 광진구 자양번영로 15+ 지층 (자양동+ 우신빌딩),2026-01-27
(주)리갈패션,김세진,02-463-3607,유니폼+ 작업복,서울특별시 광진구 뚝섬로23길 53+ 지하 (자양동),2026-01-27
(주)메트리젠,송용섭,02-447-2455,지방흡입기,서울특별시 광진구 구의로 28 (구의동+ 동영빌딩),2026-01-27
(주)민다무역,이태화,02-464-4511,가죽의복,서울특별시 광진구 군자로 79 (군자동+ 송정빌딩),2026-01-27
(주)성원,정민철,031-527-0780,장갑+가죽의복+의복액세사리+모자,서울특별시 광진구 긴고랑로 67-1 (중곡동+ 형제카센타),2026-01-27
(주)소고에어텍,신용주,02-466-8588,DUCT/SUS/후드제작,서울특별시 광진구 동일로 329+ 1층 (중곡동),2026-01-27
(주)소일콘,김진희,02-456-5352,자전거보관대+펜스,서울특별시 광진구 화양동 302-16번지 1층,2026-01-27
(주)신화프린팅,서동범,02-2088-6282,각종스티커및인쇄업,서울특별시 광진구 동일로60길 23+ 전층 (군자동),2026-01-27
(주)씨솔루션,최재원,02-2235-1690,화장품,서울특별시 광진구 능동로 120+ 창의관 207호 (화양동+ 건국대학교),2026-01-27
(주)씨엠유니버샬,전재용,02-701-0238,EMS controller,서울특별시 광진구 뚝섬로58길 19+ 201호 (자양동+ 자양동 광성빌딩),2026-01-27
(주)아비트코리아,백승엽,02-457-2655,스피커,서울특별시 광진구 아차산로 309+ 남장빌딩 204 (자양동),2026-01-27
(주)아서앤그레이스,여종건+한유나,050-5999-5566,가방,서울특별시 광진구 능동로34길 91+ 지하1층 (능동),2026-01-27
