연번,시군구,회사명,지식산업센터명,업종명,데이터기준일자,
1.0,서울특별시 마포구,(주) 두보,,간판 및 광고물 제조업 외 10 종,2025-04-23,
2.0,서울특별시 마포구,(주) 쓰리디뱅크,DMC도시형공장(첨단산업센터),비디오 및 기타 영상기기 제조업 외 1 종,2025-04-23,
3.0,서울특별시 마포구,(주) 좋은생각 사람들,,일반 서적 출판업,2025-04-23,
4.0,서울특별시 마포구,(주)그린시스템,,감광재료 및 관련 화학제품 제조업,2025-04-23,
5.0,서울특별시 마포구,(주)나눔컴퍼니,,교통 신호장치 제조업 외 8 종,2025-04-23,
6.0,서울특별시 마포구,(주)다림티센,,화장품 제조업,2025-04-23,
7.0,서울특별시 마포구,(주)로지시스,,컴퓨터 제조업 외 3 종,2025-04-23,
8.0,서울특별시 마포구,(주)리플레이,DMC도시형공장(첨단산업센터),비디오 및 기타 영상기기 제조업 외 1 종,2025-04-23,
9.0,서울특별시 마포구,(주)뷰티라이프,,코르크 및 조물제품 제조업,2025-04-23,
10.0,서울특별시 마포구,(주)삼도통신,,방송장비 제조업 외 4 종,2025-04-23,
11.0,서울특별시 마포구,(주)수안인터코리아,,컴퓨터 제조업,2025-04-23,
12.0,서울특별시 마포구,(주)시스테크,,무인 항공기 및 무인 비행장치 제조업,2025-04-23,
13.0,서울특별시 마포구,(주)신명메디에스,,그 외 기타 의료용 기기 제조업,2025-04-23,
14.0,서울특별시 마포구,(주)심포니이미징,,액정 표시장치 제조업,2025-04-23,
15.0,서울특별시 마포구,(주)아이티아이비전,DMC도시형공장(첨단산업센터),교통 신호장치 제조업 외 3 종,2025-04-23,
16.0,서울특별시 마포구,(주)언맨드솔루션,DMC도시형공장(첨단산업센터),기기용 자동측정 및 제어장치 제조업 외 8 종,2025-04-23,
17.0,서울특별시 마포구,(주)에이엠티세미코어,,기타 무선 통신장비 제조업,2025-04-23,
18.0,서울특별시 마포구,(주)엠비에스엔지니어링,,"물질 검사, 측정 및 분석기구 제조업 외 1 종",2025-04-23,
19.0,서울특별시 마포구,(주)영일특장,,자동차 구조 및 장치 변경업  외 6 종,2025-04-23,
20.0,서울특별시 마포구,(주)오라클환경디자인,,간판 및 광고물 제조업 외 2 종,2025-04-23,
21.0,서울특별시 마포구,(주)웨이브컴퍼니,,그 외 기타 분류 안된 화학제품 제조업 외 2 종,2025-04-23,
22.0,서울특별시 마포구,(주)이스트컨트롤,,유선 통신장비 제조업 외 2 종,2025-04-23,
23.0,서울특별시 마포구,(주)인성이엔씨,,방송장비 제조업 외 5 종,2025-04-23,
24.0,서울특별시 마포구,(주)컴트루테크놀로지,,컴퓨터 제조업,2025-04-23,
25.0,서울특별시 마포구,(주)탱고드론,,무인 항공기 및 무인 비행장치 제조업,2025-04-23,
26.0,서울특별시 마포구,(주)파이브지티,,유선 통신장비 제조업 외 2 종,2025-04-23,
27.0,서울특별시 마포구,(주)플러스스페이스,,전시용 모형 제조업 외 1 종,2025-04-23,
28.0,서울특별시 마포구,(주)한성디자인기획,,간판 및 광고물 제조업 외 1 종,2025-04-23,
29.0,서울특별시 마포구,(주)한성종합디자인,,간판 및 광고물 제조업,2025-04-23,
30.0,서울특별시 마포구,(주)현우콘트롤테크,,배전반 및 전기 자동제어반 제조업,2025-04-23,
31.0,서울특별시 마포구,A4시스템,,감광재료 및 관련 화학제품 제조업 외 3 종,2025-04-23,
32.0,서울특별시 마포구,Freaks,,여자용 겉옷 제조업,2025-04-23,
33.0,서울특별시 마포구,Jaener Tech,,감광재료 및 관련 화학제품 제조업,2025-04-23,
34.0,서울특별시 마포구,vergum,,기타 목재가구 제조업,2025-04-23,
35.0,서울특별시 마포구,거산음향통신(주),,기타 음향기기 제조업,2025-04-23,
36.0,서울특별시 마포구,건웅신호산전(주),,교통 신호장치 제조업 외 2 종,2025-04-23,
37.0,서울특별시 마포구,공감디자인,,간판 및 광고물 제조업,2025-04-23,
38.0,서울특별시 마포구,공우실업사,,스크린 인쇄업,2025-04-23,
39.0,서울특별시 마포구,광명기록지주식회사,,문구용 종이제품 제조업,2025-04-23,
40.0,서울특별시 마포구,국제텔레시스(주),,유선 통신장비 제조업 외 9 종,2025-04-23,
41.0,서울특별시 마포구,금성 시큐리티(주),,전기경보 및 신호장치 제조업,2025-04-23,
42.0,서울특별시 마포구,다래애,,경 인쇄업 외 1 종,2025-04-23,
43.0,서울특별시 마포구,대성커튼,,커튼 및 유사제품 제조업,2025-04-23,
