회사명,공장대표주소,업종명,생산품
(사)아름다운사람들,"서울특별시 성동구 뚝섬로1길 31, B202호(성수동1가, 서울숲  M타워) B202호",기타 인쇄관련 산업 외 4 종,인쇄출판물
(사)아름다운사람들 ,"서울특별시 성동구 뚝섬로1길 25, 7층 702호 (성수동1가) 7층 702호",기타 인쇄업 외 2 종,인쇄물
(사)장애인생산품판매지원협회인쇄사업소,"서울특별시 성동구 아차산로5길 24-27, 1,2층 (성수동2가)",경 인쇄업 외 4 종,인쇄물
(유)제이엔제이코퍼레이션명품점,서울특별시 성동구 왕십리로 58 (성수동1가) FORHU 119호,핸드백 및 지갑 제조업,"가죽가방, 신발"
(유)피투뱅가드코퍼레이션,"서울특별시 성동구 성수일로 111, B101호, B102호, B103호  (성수동1가) B101호, B102호, B103호",오프셋 인쇄업 외 1 종,"책자, 다이어리, 달력, 패키지상자"
(주) 뉴콤,"서울특별시 성동구 광나루로6길 20, 이글타운 7층 (성수동2가)",기타 주변기기 제조업 외 1 종,"번호인식솔루션, 무인교통감시장비"
(주) 세원정밀,"서울특별시 성동구 성수이로20길 43 (성수동2가, (주)G.K문화인쇄)",기타 인쇄업 외 1 종,전단양식지
(주) 스팀솔루션,"서울특별시 성동구 아차산로17길 49, 1동 1110호 (성수동2가) 1동 1110호","전자기 측정, 시험 및 분석기구 제조업 외 1 종","교육용장비, 계측장비, 3D프린터"
(주) 어핀텍,"서울특별시 성동구 아차산로 49, 504호(성수동1가, 서울숲 코오롱디지털타워 Ⅲ) 504호","물질 검사, 측정 및 분석기구 제조업",자동 핵산 추출기
(주) 울트라브이,"서울특별시 성동구 상원길 19, B102-104호 (성수동1가, 신한 IT TOWER)",의료용품 및 기타 의약 관련제품 제조업,조직수복용생체재료
(주) 이씨오,"서울특별시 성동구 광나루로6길 35, 우림e-BIZ센터 3층 (성수동2가)",기타 주변기기 제조업,컴퓨터입출력장치 및 주변기기
(주) 진씨커,"서울특별시 성동구 성수일로10길 26, 1202~1204호(성수동2가, 하우스디 세종타워) 1202~1204호",그 외 기타 분류 안된 화학제품 제조업,초정밀 비침습 암진단키드
(주) 프로씨스콤,"서울특별시 성동구 성수일로 77, 214, 215호 (성수동1가, 서울숲IT밸리)",방송장비 제조업 외 18 종,"유무선통신기기,케이블,배터리 외"
(주)가우정밀,"서울특별시 성동구 성수이로18길 45, 1층 (성수동2가)",그 외 기타 1차 철강 제조업 외 2 종,"버클, 단추, 지퍼, 자동차부품"
(주)가인이앤씨,"서울특별시 성동구 성수이로22길 37, 9층 907,908 (성수동2가, 성수동 아크밸리)",산업용 송풍기 및 배기장치 제조업 외 1 종,"방열기, 환기장치"
(주)거손테크,서울특별시 성동구 둘레길 45 (성수동1가),전시용 모형 제조업,"모형, 조형물, 전시물, 인테리어"
(주)건축음향연구센터,서울특별시 성동구 행당동 17번지 HIT B118-1호,합성고무 제조업,제진재
(주)경림이앤지,"서울특별시 성동구 성수이로7길 27, 8층 809호(성수동2가, 서울숲코오롱디지탈타워) 8층 809호",방송장비 제조업 외 7 종,"방송장비, 영상감지장치, LED경관조명, 컴퓨터서버 외"
(주)고려에스티,서울특별시 성동구 아차산로9길 19 (성수동2가),"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",스텐레이스
(주)국일금속산업,서울특별시 성동구 왕십리로14나길 14 (성수동1가),위생용 및 산업용 도자기 제조업,수건걸이
