순번,회사명,대표자명,생산품,공장대표주소(도로명),업종명
1, (주)제이앤스테크,유홍헌,"조명기구,공기청정기","서울특별시 영등포구 선유로 70, 10층 1002호 (문래동3가, 우리벤처타운2)",일반용조명장치제조업 외 1 종
2,(사)장애인노동진흥회(행복한나무),최성준,"인쇄물,출판물,진행문서화일",서울특별시 영등포구 양산로 96 (당산동2가),문구용 종이제품 제조업 외 5 종
3,(사)한국장애인기업협회 인쇄사업단,김대균,인쇄물,서울특별시 영등포구 도림동 150-8번지,경 인쇄업 외 2 종
4,(주)가나이엔지,강재선,무선 송신기,"서울특별시 영등포구 경인로71길 70, 1005호~1006호 (문래동5가, 벽산디지털밸리)",기타 무선 통신장비 제조업 외 1 종
5,(주)가람아이앤씨,김태주,"산업용 콘트롤러, 통신기기","서울특별시 영등포구 당산로2길 12, 에이스테크노타워301 (문래동3가)",컴퓨터 제조업
6,(주)가시,강우석,"영상감지장치,보안용카메라,차량번호판독기","서울특별시 영등포구 경인로71길 70, B102호 (문래동5가, 벽산디지털밸리)",방송장비 제조업 외 1 종
7,(주)가을디에스,"신연희, 김택수","컴퓨터, 교육용로봇","서울특별시 영등포구 양평로30길 14, 705호, 706호(양평동6가) 705호, 706호","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 4 종"
8,(주)가이드삼정,문용만,조명장치,"서울특별시 영등포구 영신로 220, 14층 1411,1412 (영등포동8가, KnK디지털타워)",전시 및 광고용 조명장치 제조업 외 1 종
9,(주)가포아이엔지,김한일,공기압 맛사지기,"서울특별시 영등포구 경인로82길 3-4, 센터플러스 1116호 (문래동1가)",그 외 기타 의료용 기기 제조업
10,(주)강서화학공업사,한갑현,"샴푸, 유황, 비누, 세제","서울특별시 영등포구 당산로29길 5-1, 601호 (당산동3가, 삼일빌딩)",계면활성제 제조업 외 1 종
11,(주)건민이앤씨,박병윤,하수슬러지건조기,서울특별시 영등포구 선유로35길 21 (양평동3가),그 외 기타 일반목적용 기계 제조업 외 1 종
12,(주)경덕레이져,김찬수,금속가공제품,서울특별시 영등포구 선유로 1 (문래동5가) (총 2 필지) 외 1필지,그 외 기타 금속가공업
13,(주)경인열기엔지니어링,이상원,방폭 UVS,"서울특별시 영등포구 경인로 775, 1동 15층 1508호, B170호 (문래동3가, 에이스하이테크시티)","산업용 오븐, 노 및 노용 버너 제조업 외 1 종"
14,(주)굿센,박연정,"CCTV, 전산업무, 기타주변기기","서울특별시 영등포구 대림로39길 5, 1층(대림동)",방송장비 제조업 외 3 종
15,(주)그린도트,이화진,"전기차 충전기, BSS (Battery Swap Staion), 주차 관제 설비, 영상감시장치","서울특별시 영등포구 영등포로 150, (당산동1가, 생각공장 당산) C동 B2층 GP201호",기타 전기 변환장치 제조업 외 2 종
16,(주)그린엠티브이,김종호,스텐레스 레이저 가공,서울특별시 영등포구 도림로129길 3 (문래동2가),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
17,(주)그린온,조봉제,"초음파기화 방제기, 공기청정기","서울특별시 영등포구 양산로 57-5, 5층 506호 (양평동3가, 양평동 이노플렉스)",기체 여과기 제조업 외 4 종
18,(주)꼬모텍스타일,조영숙,넥타이,서울특별시 영등포구 도림로 281 (신길동),기타 편조의복 액세서리 제조업
19,(주)나래휴몰드,채희락,"섬유류(의류,가방,신발외)","서울특별시 영등포구 양산로 34, 2층 (양평동1가, 동신교통(주))",남자용 겉옷 제조업 외 30 종
20,(주)나루지엠에스,조승현,"의류, 가방 및 액세서리등","서울특별시 영등포구 여의대방로43가길 12, 지층 (신길동, 성문빌딩)",셔츠 및 블라우스 제조업 외 36 종
21,(주)남효에이앤에이,김균운,"광고물, 사인물","서울특별시 영등포구 문래로20길 60, 5층 503호 (문래동3가, 메가벤처타워)",금속 표시판 제조업
22,(주)네오비젼,유정식,영상디스플레이기기,"서울특별시 영등포구 선유로 130, 5층 501~503 (양평동3가)",컴퓨터 모니터 제조업
23,(주)넥스트림,"신재범,  정승화",데이터저장장치,"서울특별시 영등포구 당산로41길 11, SK V1 center (당산동4가) E동 B1층 B137호",기타 주변기기 제조업 외 1 종
24,(주)넥스트림,"신재범,정승화","디스크어레이, 디스크어레이","서울특별시 영등포구 당산로41길 11, W동 429호(당산동4가, 당산 SK V1 center)",기억장치 제조업 외 2 종
25,(주)노하우전기통신,"임창배, 양창화","무인안내시스템, 영상정보디스플레이장치, 컴퓨터서버, 특수목적컴퓨터, 비상경보기, 출입통제시스템, 컴퓨터서버, 비상경보기, 자동안내장치, 출입통제시스템, 구내방송장치, 교통관제시스템, 무인교통감시장치, 보안용카메라, 영상감시장치, 교통관제시스템, 무선송수신기, 무선통신송신기, 무선통신장치, 보안용카메라, 무인교통감시장치, 영상감시장치, 무인교통감시장치, 무인안내시스템, 영상정보디스플레이장치, 구내방송장치, 구내방송장치, 원격접속장치, 공정제어실험장치, 교육훈련장비(자동제어교육실습장비, 마이크로프로세스교육실습장비), 원격접속장치, 교육훈련장비(자동제어교육실습장비, 마이크로프로세스교육실습장비), 전자회로실험장치, 정보통신망실습장비, 계장제어장치, 모니터링장치, 빌딩자동제어장치, 조명용제어장치, 전력보호감시장치, 집중표시제어장치, 최대수요전력제어기, 조명용제어장치, 안내전광판, 열차행선안내장치, 비상경보기, 출입통제시스템, 출입통제시스템",서울특별시 영등포구 양산로 53 (양평동3가) 월드메르디앙비즈센터 408호,방송장비 제조업 외 72 종
26,(주)다산에스알,강순모,전원분배기,"서울특별시 영등포구 영신로 220, 1011~1012호(영등포동8가, KnK디지털타워) 1011~1012호",기타 음향기기 제조업
27,(주)다우어패럴,양윤수,스웨타,"서울특별시 영등포구 도림로41길 11-2 (대림동, 다우빌딩)",편조의복 제조업
28,(주)다원에프앤디,김혜정,도시락,"서울특별시 영등포구 영등포로72길 14, 지하1층 (신길동)",도시락류 제조업 외 1 종
29,(주)단왕,안병노,산업용 로봇,서울특별시 영등포구 문래동2가 2번지 지하1층,내연기관 화물자동차 및 특수목적용 자동차 제조업 외 6 종
30,(주)당신의파트너,김철웅,"사진, 인쇄물","서울특별시 영등포구 양평로30길 40, 1,2,지층 (양평동6가)",기타 인쇄업
31,(주)당신의파트너,김철웅,아크릴 제품,"서울특별시 영등포구 양평로30길 40, 5,6,7층 (양평동6가)",합성수지 및 기타 플라스틱 물질 제조업
32,(주)대광사업단,박선희,"분전반,배전반","서울특별시 영등포구 가마산로 501, 제나호 (신길동, 새마을금고)",배전반 및 전기 자동제어반 제조업
33,(주)대동압연,이창길,철선제품,"서울특별시 영등포구 양평로23길 8 (양평동5가, 대동압연공장) 외 1필지",철강선 제조업
34,(주)대선에이디테크,김복열,광고간판,서울특별시 영등포구 문래로 79-17 (문래동3가),전시 및 광고용 조명장치 제조업 외 4 종
35,(주)대양디앤티,차준보,전자도어록,"서울특별시 영등포구 도신로 75 (도림동, 연안빌딩)",일반철물 제조업
36,(주)대영계전,홍태원,"H2 Analyzer System, O2 Analyzer System",서울특별시 영등포구 경인로 775 (문래동3가) 에이스하이테크시티 1동 11층 1101호,산업처리공정 제어장비 제조업
37,(주)대원토탈테크씨앤씨,문연주,"간판및광고물, 철구조물, 명패",서울특별시 영등포구 경인로94길 5 (문래동1가),그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종
38,(주)대원특수코리아,박대석,여과기 제조,서울특별시 영등포구 도림로141길 28-1 (문래동4가),액체 여과기 제조업 외 1 종
39,(주)대원특수코리아,박대석,휠타하우징,서울특별시 영등포구 경인로80길 3-9 (문래동1가),액체 여과기 제조업
40,(주)대유기획인쇄,유보현,인쇄물,서울특별시 영등포구 영신로32길 17 (영등포동4가),기타 인쇄업 외 1 종
41,(주)대한프린테크,황선관,인쇄물,서울특별시 영등포구 선유로43가길 10 (양평동3가),기타 인쇄업 외 1 종
42,(주)대흥정보,"여범수,박기범",주차주제어장치,"서울특별시 영등포구 문래북로 116, 4층 404호 (문래동3가)",교통 신호장치 제조업
43,(주)더그린,김영심,"간판,현수막,깃발,오탁방지막,고무보트",서울특별시 영등포구 도신로19길 8 (도림동),간판 및 광고물 제조업 외 4 종
44,(주)델파,이종훈,"경찰조끼, 소방조끼, 가방, 남성여성용조끼","서울특별시 영등포구 영신로 22-15, 지하1층,1층,2층 (영등포동)",핸드백 및 지갑 제조업 외 11 종
45,(주)동광복층,채준석,"복층유리, 강화유리, 거울 등",서울특별시 영등포구 선유동1로 46 (당산동3가) (총 3 필지) 외 2필지,안전유리 제조업 외 1 종
46,(주)동일특수테크,이승훈,볼트피스,서울특별시 영등포구 양평로21가길 4 (양평동5가),볼트 및 너트류 제조업 외 2 종
47,(주)동일프론텍,황용흥,전기기계기구(테이블외),서울특별시 영등포구 선유로 176 (양평동3가),일반철물 제조업
