,허가번호,경도,위도
24,322014110004540,126.981461,37.586917
25,322014110004990,126.986564,37.583042
26,322014110005714,126.982014,37.582128
27,322014110006610,126.976764,37.586689
57,322015110032270,126.983433,37.587692
58,322015110041513,126.985028,37.5867
59,322015110041514,126.982561,37.584225
76,322016110029101,126.984072,37.587967
77,322016110029102,126.983433,37.587692
80,322016110045340,126.982014,37.582128
84,322016110054703,126.976769,37.586653
89,322016110081941,126.982014,37.582128
92,322016110085035,126.983433,37.587692
93,322016110085036,126.983433,37.587692
104,322017110032069,126.982561,37.584225
105,322017110045078,126.984436,37.587133
106,322017110045079,126.984436,37.587133
111,322017110051700,126.980489,37.585936
120,322018110047041,126.986117,37.587033
123,322018110066664,126.976769,37.586556
134,322019110051561,126.985689,37.586478
215,322021110045373,126.981292,37.589233
293,322023110021940,126.981764,37.585372
308,322024110037549,126.981,37.586653
329,322025110017047,126.981925,37.586011
451,322014110004504,126.999147,37.588683
452,322014110004515,126.999697,37.582947
453,322014110005001,126.996772,37.587617
455,322014110005206,127.000711,37.590281
456,322014110005712,127.001731,37.589289
459,322014110006598,126.997819,37.587922
460,322014110006601,127.000986,37.583119
461,322014110006602,126.999908,37.586689
462,322014110006707,127.002136,37.582697
463,322014110006708,127.003025,37.582975
464,322014110006709,127.004958,37.584092
465,322014110006712,126.997617,37.584397
466,322014110006715,126.998819,37.582633
467,322014110006911,127.000283,37.584861
468,322014110007296,127.00205,37.583975
469,322014110015535,127.003697,37.590442
486,322014110032485,127.005933,37.588389
513,322015110001058,126.996975,37.585869
516,322015110003671,126.995425,37.585911
517,322015110010590,126.995339,37.587892
521,322015110016410,126.997897,37.586419
530,322015110058149,126.997417,37.583333
539,322016110035013,126.999269,37.588772
540,322016110035019,126.996769,37.587689
541,322016110038809,127.005519,37.587978
542,322016110041080,127.004925,37.588425
543,322016110041084,127.003697,37.590442
544,322016110041110,127.005519,37.587978
545,322016110041761,126.998819,37.582633
546,322016110043969,127.000156,37.583419
547,322016110044294,127.000753,37.590381
548,322016110044299,126.997617,37.584397
549,322016110044314,127.00205,37.583975
550,322016110044767,126.998514,37.585144
551,322016110045001,127.004958,37.584092
552,322016110045413,126.999908,37.586689
572,322016110054221,126.997144,37.589367
573,322016110054231,126.996736,37.586797
588,322016110078370,127.000283,37.584861
589,322016110078428,127.000083,37.583356
595,322016110081851,127.00205,37.583975
596,322016110081915,127.00205,37.583975
597,322016110081916,127.00205,37.583975
603,322016110085041,126.997072,37.585028
604,322016110085043,127.003817,37.583161
605,322016110085049,127.004958,37.584092
614,322017110009214,126.999464,37.589414
615,322017110027746,126.997506,37.583419
617,322017110057107,127.004958,37.584092
620,322017110059410,127.000283,37.584861
621,322017110059606,127.002136,37.582697
623,322017110060027,126.998819,37.582633
624,322017110060028,126.999697,37.582947
625,322017110060029,127.00205,37.583975
628,322017110061663,126.998819,37.582633
629,322017110062231,127.0003,37.584831
632,322018110005035,127.003025,37.582975
633,322018110005048,127.003817,37.583161
636,322018110006061,127.002136,37.583517
639,322018110037087,126.997617,37.584397
640,322018110037088,126.996772,37.587608
641,322018110037089,126.997611,37.584333
643,322018110045574,126.999908,37.586689
644,322018110047042,126.998456,37.584486
651,322018110052540,127.000097,37.583397
652,322018110052546,126.998819,37.582633
671,322018110063697,127.000283,37.584861
769,322021110043474,127.001644,37.58645
778,322022110004940,126.999147,37.588683
804,322023110027220,126.996978,37.589114
816,322024110035808,127.003453,37.58315
826,322025110008522,127.002136,37.582697
827,322025110008528,127.002136,37.582697
981,322014110004542,127.014247,37.574258
982,322014110005193,127.012028,37.571753
983,322014110005500,127.014808,37.573092
984,322014110005524,127.021819,37.570067
985,322014110005526,127.019808,37.568139
986,322014110005695,127.013714,37.572747
987,322014110006793,127.013928,37.569453
988,322014110006869,127.017914,37.570161
989,322014110006872,127.019289,37.569803
990,322014110007291,127.016619,37.567761
991,322014110007292,127.014575,37.5709
992,322014110007295,127.020672,37.572122
996,322014110023885,127.011925,37.570067
1017,322014110042714,127.011144,37.571772
1018,322014110042715,127.01665,37.573314
1020,322014110045187,127.016131,37.566264
1049,322014110066026,127.015267,37.572517
1051,322014110068459,127.016225,37.573842
1060,322014110072112,127.013181,37.567708
1081,322015110003394,127.012567,37.568658
1084,322015110016954,127.017108,37.566856
1085,322015110016955,127.017108,37.566856
1086,322015110018899,127.016564,37.567781
1087,322015110019338,127.014711,37.569153
1088,322015110019359,127.016717,37.572386
1089,322015110023639,127.021447,37.570803
1091,322015110033548,127.012758,37.568858
1092,322015110033549,127.016511,37.567436
1093,322015110033560,127.013047,37.5674
1094,322015110033642,127.014756,37.570108
1097,322015110038492,127.016036,37.574122
1098,322015110039627,127.014275,37.567842
1099,322015110044865,127.015186,37.571733
1103,322015110054035,127.01865,37.566653
1104,322015110054043,127.012061,37.573617
1107,322015110058152,127.018767,37.571492
1108,322015110058154,127.011347,37.570747
1140,322016110002810,127.020253,37.573083
1142,322016110005078,127.015658,37.572189
1143,322016110007856,127.01345,37.567042
1156,322016110012389,127.020167,37.573631
1173,322016110030936,127.011572,37.569422
1174,322016110033679,127.019311,37.569794
1175,322016110034111,127.015881,37.566361
1176,322016110035520,127.017331,37.567939
1177,322016110035521,127.017331,37.567939
1178,322016110041659,127.01395,37.572733
1179,322016110042601,127.011053,37.569447
1180,322016110042702,127.012844,37.569136
1181,322016110042726,127.013497,37.5678
1182,322016110042727,127.013497,37.5678
1183,322016110043035,127.021819,37.570067
1184,322016110043600,127.019808,37.568139
1185,322016110043970,127.012028,37.571742
1186,322016110043975,127.020139,37.573144
1187,322016110043992,127.012128,37.573689
1188,322016110044372,127.01345,37.567042
1189,322016110044387,127.012875,37.567667
1190,322016110044388,127.012875,37.567667
1191,322016110044810,127.019808,37.568139
1192,322016110045005,127.019069,37.574314
1199,322016110046455,127.014925,37.569428
1200,322016110046750,127.015869,37.566361
1209,322016110051829,127.011925,37.570067
1210,322016110052920,127.0119,37.568661
1238,322016110072683,127.014767,37.570108
1243,322016110077350,127.014972,37.569153
1244,322016110077351,127.014972,37.569153
1245,322016110078030,127.014972,37.569153
1246,322016110078031,127.014972,37.569153
1250,322016110082109,127.015986,37.572047
1251,322016110082110,127.015986,37.572047
1252,322016110082111,127.015986,37.572047
1253,322016110082112,127.015986,37.572047
1254,322016110082113,127.015986,37.572047
1255,322016110082114,127.015986,37.572047
1256,322016110082115,127.015986,37.572047
1257,322016110082116,127.015986,37.572047
1258,322016110082117,127.016114,37.567569
1259,322016110082118,127.016114,37.567569
1260,322016110082119,127.016114,37.567569
1261,322016110082120,127.016114,37.567569
1262,322016110082121,127.016114,37.567569
1263,322016110082122,127.016114,37.567569
1264,322016110082123,127.016114,37.567569
1265,322016110082124,127.016114,37.567569
1274,322016110085033,127.018778,37.571464
1275,322016110085444,127.011386,37.571611
1276,322016110085445,127.011386,37.571611
1277,322016110085446,127.011386,37.571611
1278,322016110085447,127.011386,37.571611
1279,322016110085448,127.011386,37.571611
1280,322016110085449,127.011386,37.571611
1281,322016110085450,127.011386,37.571611
1282,322016110085466,127.016064,37.573056
1283,322016110085467,127.016064,37.573056
1284,322016110085468,127.016064,37.573056
1285,322016110085469,127.016064,37.573056
1286,322016110085470,127.016064,37.573056
1287,322016110085471,127.016064,37.573056
1288,322016110085472,127.016064,37.573056
1289,322016110086239,127.016214,37.570183
1290,322016110086525,127.020719,37.570311
1330,322017110023160,127.016339,37.567706
1334,322017110027741,127.015942,37.574525
1337,322017110028849,127.013975,37.570606
1338,322017110028850,127.012958,37.571661
1345,322017110033788,127.013181,37.567708
1354,322017110039172,127.016233,37.572311
1369,322017110043470,127.016061,37.571489
1371,322017110045087,127.020672,37.572122
1381,322018110010626,127.015919,37.574583
1382,322018110013779,127.017331,37.567939
1383,322018110014789,127.013989,37.570611
1385,322018110025383,127.016064,37.573056
1386,322018110028295,127.013569,37.567358
1391,322018110033228,127.020672,37.572183
1394,322018110040357,127.011372,37.570792
1395,322018110040358,127.011372,37.570792
1402,322018110046440,127.0119,37.568661
1403,322018110046441,127.0119,37.568661
1404,322018110046442,127.0119,37.568661
1419,322018110059887,127.018117,37.574158
1428,322018110066794,127.011144,37.571772
1430,322018110068872,127.021447,37.570803
1462,322019110022857,127.013606,37.567383
1466,322019110023362,127.016131,37.566264
1611,322022110004942,127.013553,37.573658
1616,322022110006534,127.019533,37.568328
1688,322023110041106,127.016233,37.572311
1695,322023110041586,127.016383,37.572978
1720,322025110014983,127.011219,37.570483
1889,322014110004542,127.014247,37.574258
1890,322014110005188,127.008497,37.573506
1891,322014110005189,127.007572,37.573192
1892,322014110005192,127.011925,37.577003
1893,322014110005193,127.012028,37.571753
