grid_id,center_lat,center_lng,sw_lat,sw_lng,ne_lat,ne_lng
1,37.543101,126.985994,37.542876,126.98571,37.543326,126.986278
2,37.543101,126.986562,37.542876,126.986278,37.543326,126.986846
3,37.543101,126.98713,37.542876,126.986846,37.543326,126.987415
4,37.543101,126.987699,37.542876,126.987415,37.543326,126.987983
5,37.543101,126.988267,37.542876,126.987983,37.543326,126.988551
6,37.543101,126.988835,37.542876,126.988551,37.543326,126.989119
7,37.543101,126.989403,37.542876,126.989119,37.543326,126.989688
8,37.543101,126.989972,37.542876,126.989688,37.543326,126.990256
9,37.543101,126.99054,37.542876,126.990256,37.543326,126.990824
10,37.543552,126.976334,37.543326,126.97605,37.543777,126.976618
11,37.543552,126.976902,37.543326,126.976618,37.543777,126.977186
12,37.543552,126.97747,37.543326,126.977186,37.543777,126.977754
13,37.543552,126.978038,37.543326,126.977754,37.543777,126.978323
14,37.543552,126.978607,37.543326,126.978323,37.543777,126.978891
15,37.543552,126.979175,37.543326,126.978891,37.543777,126.979459
16,37.543552,126.979743,37.543326,126.979459,37.543777,126.980027
17,37.543552,126.980311,37.543326,126.980027,37.543777,126.980596
18,37.543552,126.98088,37.543326,126.980596,37.543777,126.981164
19,37.543552,126.981448,37.543326,126.981164,37.543777,126.981732
20,37.543552,126.982016,37.543326,126.981732,37.543777,126.9823
21,37.543552,126.982584,37.543326,126.9823,37.543777,126.982869
22,37.543552,126.983153,37.543326,126.982869,37.543777,126.983437
23,37.543552,126.983721,37.543326,126.983437,37.543777,126.984005
24,37.543552,126.984289,37.543326,126.984005,37.543777,126.984573
25,37.543552,126.984857,37.543326,126.984573,37.543777,126.985142
26,37.543552,126.985426,37.543326,126.985142,37.543777,126.98571
27,37.543552,126.985994,37.543326,126.98571,37.543777,126.986278
28,37.543552,126.986562,37.543326,126.986278,37.543777,126.986846
29,37.543552,126.98713,37.543326,126.986846,37.543777,126.987415
30,37.543552,126.987699,37.543326,126.987415,37.543777,126.987983
31,37.543552,126.988267,37.543326,126.987983,37.543777,126.988551
32,37.543552,126.988835,37.543326,126.988551,37.543777,126.989119
33,37.543552,126.989403,37.543326,126.989119,37.543777,126.989688
34,37.543552,126.989972,37.543326,126.989688,37.543777,126.990256
35,37.543552,126.99054,37.543326,126.990256,37.543777,126.990824
36,37.544002,126.966105,37.543777,126.965821,37.544227,126.966389
37,37.544002,126.966673,37.543777,126.966389,37.544227,126.966957
38,37.544002,126.967242,37.543777,126.966957,37.544227,126.967526
39,37.544002,126.96781,37.543777,126.967526,37.544227,126.968094
40,37.544002,126.968378,37.543777,126.968094,37.544227,126.968662
41,37.544002,126.968946,37.543777,126.968662,37.544227,126.96923
42,37.544002,126.969515,37.543777,126.96923,37.544227,126.969799
43,37.544002,126.970083,37.543777,126.969799,37.544227,126.970367
44,37.544002,126.970651,37.543777,126.970367,37.544227,126.970935
45,37.544002,126.971219,37.543777,126.970935,37.544227,126.971503
46,37.544002,126.971788,37.543777,126.971503,37.544227,126.972072
47,37.544002,126.972356,37.543777,126.972072,37.544227,126.97264
48,37.544002,126.972924,37.543777,126.97264,37.544227,126.973208
49,37.544002,126.973492,37.543777,126.973208,37.544227,126.973777
50,37.544002,126.974061,37.543777,126.973777,37.544227,126.974345
51,37.544002,126.974629,37.543777,126.974345,37.544227,126.974913
52,37.544002,126.975197,37.543777,126.974913,37.544227,126.975481
53,37.544002,126.975765,37.543777,126.975481,37.544227,126.97605
54,37.544002,126.976334,37.543777,126.97605,37.544227,126.976618
55,37.544002,126.976902,37.543777,126.976618,37.544227,126.977186
56,37.544002,126.97747,37.543777,126.977186,37.544227,126.977754
57,37.544002,126.978038,37.543777,126.977754,37.544227,126.978323
58,37.544002,126.978607,37.543777,126.978323,37.544227,126.978891
59,37.544002,126.979175,37.543777,126.978891,37.544227,126.979459
60,37.544002,126.979743,37.543777,126.979459,37.544227,126.980027
61,37.544002,126.980311,37.543777,126.980027,37.544227,126.980596
62,37.544002,126.98088,37.543777,126.980596,37.544227,126.981164
63,37.544002,126.981448,37.543777,126.981164,37.544227,126.981732
64,37.544002,126.982016,37.543777,126.981732,37.544227,126.9823
65,37.544002,126.982584,37.543777,126.9823,37.544227,126.982869
66,37.544002,126.983153,37.543777,126.982869,37.544227,126.983437
67,37.544002,126.983721,37.543777,126.983437,37.544227,126.984005
68,37.544002,126.984289,37.543777,126.984005,37.544227,126.984573
69,37.544002,126.984857,37.543777,126.984573,37.544227,126.985142
70,37.544002,126.985426,37.543777,126.985142,37.544227,126.98571
71,37.544002,126.985994,37.543777,126.98571,37.544227,126.986278
72,37.544002,126.986562,37.543777,126.986278,37.544227,126.986846
73,37.544002,126.98713,37.543777,126.986846,37.544227,126.987415
74,37.544002,126.987699,37.543777,126.987415,37.544227,126.987983
75,37.544002,126.988267,37.543777,126.987983,37.544227,126.988551
76,37.544002,126.988835,37.543777,126.988551,37.544227,126.989119
77,37.544002,126.989403,37.543777,126.989119,37.544227,126.989688
78,37.544002,126.989972,37.543777,126.989688,37.544227,126.990256
79,37.544002,126.99054,37.543777,126.990256,37.544227,126.990824
80,37.544453,126.956445,37.544227,126.956161,37.544678,126.956729
81,37.544453,126.957013,37.544227,126.956729,37.544678,126.957297
82,37.544453,126.957581,37.544227,126.957297,37.544678,126.957865
83,37.544453,126.95815,37.544227,126.957865,37.544678,126.958434
84,37.544453,126.958718,37.544227,126.958434,37.544678,126.959002
85,37.544453,126.959286,37.544227,126.959002,37.544678,126.95957
86,37.544453,126.959854,37.544227,126.95957,37.544678,126.960138
87,37.544453,126.960423,37.544227,126.960138,37.544678,126.960707
88,37.544453,126.960991,37.544227,126.960707,37.544678,126.961275
89,37.544453,126.961559,37.544227,126.961275,37.544678,126.961843
90,37.544453,126.962127,37.544227,126.961843,37.544678,126.962411
