터널명,터널종류,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지지번주소,터널시작점위도,터널시작점경도,터널종료점위도,터널종료점경도,터널연장,터널폭,터널보도폭,터널높이,차로수,터널준공연도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,터널보수보강내역,터널보수보강비용,중계기종류,터널관리시스템적용여부,관리기관명,관리기관전화번호,데이터기준일자
진안3지하차도,지하차도,02,일반국도,일반국도43호선,43,양방향,경기도,화성시,41590,경기도 화성시 진안동 , 37.214919, 127.030537, 37.216099, 127.031135,140,31.5,0,6.4,6,2013,2024-09-01,B,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
진안2지하차도,지하차도,02,일반국도,일반국도43호선,43,양방향,경기도,화성시,41590,경기도 화성시 진안동 , 37.212558, 127.029584, 37.213766, 127.030069,148.4,31.5,0,6.4,8,2013,2024-09-01,B,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
진안1지하차도,지하차도,03,일반국도,일반국도43호선,43,양방향,경기도,화성시,41590,경기도 화성시 진안동 , 37.210855, 127.028925, 37.211531, 127.029201,80,31.5,0,6.4,8,2013,2024-12-13,A,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
수기지하차도,지하차도,99,일반국도,일반국도43호선,43,양방향,경기도,화성시,41590,경기도 화성시 봉담읍 수기리, 37.199460, 126.984118, 37.199572, 126.984901,80,17.8,3.8,5,4,2015,2024-11-29,A,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
상신지하차도,지하차도,02,일반국도,일반국도39호선,39,양방향,경기도,화성시,41590,경기도 화성시 향남읍 상신리, 37.103786, 126.901322, 37.107038, 126.900902,340,19,0,7.4,4,2013,2024-12-13,A,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
태안지하차도,지하차도,02,일반국도,일반국도43호선,43,양방향,경기도,화성시,41590,경기도 화성시 진안동 , 37.218404, 127.036166, 37.218719, 127.039400,300,20,0,5.1,4,2005,2024-12-13,A,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
망포지하차도,지하차도,01,일반국도,일반국도43호선,43,양방향,경기도,수원시 영통구,41117,경기도 수원시 영통구 망포동 , 37.235407, 127.058262, 37.241495, 127.063722,871,25,0,5.1,6,2012,2024-12-13,A,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
여주터널(상),도로터널,02,일반국도,일반국도42호선,42,상행,경기도,여주시,41670,경기도 여주시 강천면 간매리, 37.272237, 127.723183, 37.272507, 127.732674,750,10,0,6.7,2,1999,2024-09-16,B,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
부평터널(상),도로터널,02,일반국도,일반국도42호선,42,상행,경기도,여주시,41670,경기도 여주시 강천면 부평리, 37.274860, 127.752309, 37.278011, 127.755529,478,10,0,8,2,1999,2024-09-16,A,정밀점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
오천터널(상),도로터널,02,일반국도,일반국도42호선,42,상행,경기도,이천시,41500,경기도 이천시 마장면 회억리, 37.254554, 127.366990, 37.254584, 127.371899,457,10,1,6.7,2,2004,2024-12-13,A,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
만세터널(상),도로터널,01,일반국도,일반국도45호선,45,상행,경기도,안성시,41550,경기도 안성시 원곡면 칠곡리, 37.056592, 127.166376, 37.066943, 127.176542,1461,8,1,7,2,2005,2024-10-15,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
양성터널(상),도로터널,02,일반국도,일반국도45호선,45,상행,경기도,안성시,41550,경기도 안성시 양성면 동항리, 37.068390, 127.181170, 37.069679, 127.186706,481,8,1,7.7,2,2005,2024-10-15,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
백마터널(상),도로터널,01,일반국도,일반국도3호선,3,상행,경기도,광주시,41610,경기도 광주시 초월읍 대쌍령리, 37.384167, 127.282384, 37.391369, 127.257517,2340,10.5,0,8,3,2013,2024-11-28,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
여주터널(하),도로터널,02,일반국도,일반국도42호선,42,하행,경기도,여주시,41670,경기도 여주시 강천면 부평리, 37.272754, 127.732527, 37.272528, 127.723158,750,10,0,6.7,2,1999,2024-09-16,B,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
부평터널(하),도로터널,02,일반국도,일반국도42호선,42,하행,경기도,여주시,41670,경기도 여주시 강천면 부평리, 37.278434, 127.755581, 37.275028, 127.751995,446,10,0,8,2,1999,2024-09-16,B,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
오천터널(하),도로터널,02,일반국도,일반국도42호선,42,하행,경기도,이천시,41500,경기도 이천시 마장면 이치리, 37.254842, 127.372084, 37.254845, 127.366972,480,10,1,6.7,2,2004,2024-12-13,A,정기점검,미적용,N,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
만세터널(하),도로터널,01,일반국도,일반국도45호선,45,하행,경기도,안성시,41550,경기도 안성시 양성면 동항리, 37.067300, 127.176474, 37.056755, 127.166039,1430,8,1,7,2,2005,2024-10-15,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
양성터널(하),도로터널,02,일반국도,일반국도45호선,45,하행,경기도,안성시,41550,경기도 안성시 양성면 동항리, 37.069940, 127.186543, 37.068669, 127.181109,490,8,1,7.7,2,2005,2024-10-15,B,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
백마터널(하),도로터널,01,일반국도,일반국도3호선,3,하행,경기도,광주시,41610,경기도 광주시 오포읍 양벌리, 37.391057, 127.257521, 37.383766, 127.282195,2340,10.5,0,8,3,2013,2024-11-28,A,정기점검,적용,Y,,,,N,서울청 수원사무소,031-218-1777,2024-12-31
